,0
0,0.0
1,0.0
2,0.0
3,0.0
4,1.669924275581721
5,1.8627695907202622
6,23.529432335586208
7,26.070904945810994
8,20.912327897838367
9,24.831109381322918
10,20.970061426968954
11,17.926839707080944
12,16.755328400123375
13,15.517255264738935
14,15.097578392598464
15,14.202908949020909
16,14.161861748704297
17,13.951292556018487
18,36.32959697795976
19,42.336234886374264
20,42.18420525039049
21,43.64834344564688
22,41.15705534666426
23,40.753559064901786
24,40.18957929987738
25,43.58011903605463
26,45.00610271985284
27,41.96326829313052
28,39.716967093487284
29,39.93870291610143
30,43.33429381078918
31,43.18444060018522
32,41.01546699499427
33,40.14735521006651
34,38.606211193309484
35,36.60234603067227
36,38.6043768473431
37,40.09924028237753
38,40.285281429429766
39,39.41473878001741
40,41.62238040890137
41,41.47395303113198
42,40.14643976813012
43,38.58449526926632
44,37.8762427608049
45,41.08011554640752
46,39.44459178633129
47,38.1453094780128
48,36.8297323366011
49,39.11355079627988
50,41.25175239786614
51,42.479894797780055
52,45.63934647977236
53,47.32892282906332
54,48.68307571896226
55,49.22993292230964
56,49.610130906627795
57,49.68781397090702
58,51.33967343998703
59,52.26975008387927
60,53.12133006684134
61,53.292475349240085
62,53.893836181605366
63,56.268086031575336
64,55.15100661721224
65,54.56958918374307
66,54.71340977249066
67,54.0665911319296
68,48.195143715639
69,47.136883917325164
70,48.34134106416713
71,45.966814720168145
72,46.94308196452554
73,48.07914086480453
74,48.2873231413747
75,46.68819105930921
76,44.43334180979041
77,46.364497391548255
78,45.43491679792194
79,45.253334588523245
80,46.5557491065053
81,44.624039457488166
82,45.96213603659853
83,47.10712900340083
84,50.612744060076864
85,48.851933142885116
86,48.07148650870002
87,45.57959146478064
88,46.38746977465931
89,44.54034315816254
90,42.183428309826596
91,43.93939511192488
92,44.3583984375
93,46.77729483050897
94,44.89055779012524
95,42.029891830781764
96,43.30924959955561
97,46.32604210167173
98,46.727901011558934
99,45.2220140058195
100,44.772863714192596
101,46.4821239184481
102,45.06840459783552
103,44.5247327606902
104,44.18005109662276
105,42.02786794058077
106,40.85041936929601
107,41.58524943602707
108,41.050382166366646
109,38.38725981897874
110,37.35532042270739
111,36.87573023839575
112,37.2834644749998
113,36.717924495228125
114,36.27211407730203
115,37.58401297858265
116,39.08647429343033
117,39.44970844805542
118,41.581912991971514
119,42.10685861926355
120,41.127439748684026
121,41.35469128536027
122,42.05606968081598
123,40.578553910428404
124,41.4169573621079
125,42.542595398798866
126,44.22618009351928
127,45.01357411077837
128,46.95684319201473
129,46.39555906130688
130,44.30930671050843
131,45.96281819168307
132,46.90415312594235
133,46.96643840956134
134,43.68375263234826
135,48.006079474192134
136,48.55012731839115
137,51.14786476944109
138,49.85223813725893
139,52.38447287663301
140,53.40721108644788
141,53.63090697467841
142,54.46368541295237
143,54.96074695217602
144,58.18887116164122
145,59.110648510052265
146,60.956704568407076
147,59.07709902732489
148,60.17923463358186
149,59.8927457913082
150,58.81862591645395
151,58.282629733296055
152,58.30727089969358
153,59.6057528476295
154,59.13246001223087
155,62.05633791571801
156,62.306165197893726
157,61.23079431008386
158,60.23102616391715
159,60.95632432661524
160,63.85819605921255
161,67.19730173283375
162,67.70210580618303
163,62.930010002690345
164,64.79033571361661
165,62.79832117580528
166,60.2417778490886
167,60.823361067954565
168,58.45871525067872
169,56.33552928479445
170,56.94174802587594
171,58.48623947439657
172,58.944772066968326
173,62.725101642860345
174,56.63669607126654
175,56.18422161518319
176,54.190685440951874
177,51.95963178188799
178,53.2608701467615
179,55.261085008779176
180,53.372811672737484
181,53.09485174497071
182,50.841486813190855
183,50.26064548766862
184,52.07539856973374
185,49.47738185785931
186,45.46002015261407
187,42.74963891499682
188,45.200397085805946
189,47.232774937671
190,47.881351506606094
191,45.206752648944075
192,42.99967323820934
193,40.67539536931666
194,40.524859020855594
195,40.820134716324056
196,40.073785695518936
197,38.65122699061165
198,40.78122715842743
199,41.570885145971815
200,41.59885389889125
201,39.36126360687116
202,41.4861190596709
203,40.8068812805936
204,41.659331689810195
205,40.73697726533675
206,38.6320219288088
207,43.48964266115267
208,43.56049677750546
209,43.95281970156911
210,42.354320245578414
211,40.515131388449795
212,39.38133457836371
213,41.37328899515707
214,42.26854951137368
215,41.63301965331131
216,46.63895368530921
217,47.35357878545278
218,47.57612842649876
219,48.559140618948106
220,47.69645485807647
221,48.80174102353184
222,48.02237757406474
223,44.892010243021566
224,48.724915014534766
225,48.51686366239113
226,48.51007473881759
227,47.76828923633223
228,45.392870739423216
229,47.02129281868515
230,48.1471323744445
231,48.30595591824579
232,48.68403253066342
233,47.34028123221542
234,46.362783492727864
235,47.57961270433658
236,49.887056299722886
237,52.251094742549014
238,51.1067152433908
239,48.93002592469354
240,46.50077955093466
241,46.167883739333014
242,47.22860378792211
243,47.07955842364908
244,48.74582559894523
245,47.86825714709481
246,45.99726410716693
247,46.93577689036001
248,43.99089401502119
249,44.89309366610227
250,44.97655549446414
251,43.59619496629417
252,42.556065884095304
253,41.250624284214666
254,41.96150318332417
255,43.08655612045589
256,44.78463541734421
257,41.2201072607211
258,41.988906799921146
259,43.5432730975737
260,46.16811456457636
261,48.37883245902072
262,48.620841928105165
263,49.54272129902158
264,50.68528177912822
265,53.35200685991356
266,47.56630897272867
267,47.19178467721454
268,48.85644420901595
269,46.61278073938205
270,47.835704909895156
271,47.43626453020811
272,49.782393676622064
273,52.993822433174664
274,50.711076073330695
275,51.612316881037046
276,51.71946921583219
277,53.080128691247445
278,54.68393120931356
279,52.88062294320788
280,52.41148122441191
281,53.64978028638309
282,53.42161439406095
283,54.777008368896865
284,53.660192000066374
285,53.077079546574495
286,53.55878452297752
287,51.087383348632486
288,51.19734030764568
289,52.08830465632966
290,54.59093311145663
291,56.02792572375192
292,59.56531206926248
293,60.73601496691747
294,58.12783750575949
295,60.59548621663979
296,59.430068444088526
297,59.27488618735017
298,62.52178836200556
299,61.95629823847449
300,61.98794875850573
301,66.34105505194721
302,65.27629740414991
303,67.07806119660961
304,66.10556471944737
305,64.88172713769518
306,65.07699147892983
307,64.5308442895439
308,63.232948212657284
309,62.273460126118614
310,63.04233909781897
311,64.13326254398123
312,65.03602688508332
313,64.5576151956194
314,62.97354932892803
315,61.17956630325731
316,61.977306761432104
317,59.439970116944714
318,57.82879214261672
319,59.21932406574078
320,60.97409974185555
321,60.289227997747695
322,57.93938888497494
323,56.77726279675244
324,59.16955577562786
325,57.07880994420714
326,57.82931241338731
327,58.71925170837899
328,57.564625515576665
329,56.079002006612335
330,58.89370114077791
331,58.476074699407185
332,59.552450356145584
333,59.63136624007241
334,61.85181103575245
335,60.386412198173566
336,63.64766615453648
337,65.58826417572982
338,63.79410221851642
339,64.90367640587642
340,66.56956421243532
341,65.42824394990737
342,62.86378629186791
343,61.54723124833246
344,63.629312180999186
